City,County,Year,Median_List_Rent,Median_List_Rent_IA,Median_List_Rent_PercentChg_1994,Median_List_Rent_IA_PercentChg_1994,Source
Lafayette,Contra Costa County,2006,1721,2127,0.6560,0.1771,real Answers
Hayward,Alameda County,2014,1586,1628,1.0837,0.2296,real Answers
Petaluma,Sonoma County,2014,1812,1860,1.4998,0.4752,real Answers
San Bruno,San Mateo County,1997,1213,1955,0.4349,0.3302,real Answers
Morgan Hill,Santa Clara County,2005,1435,1831,0.7716,0.2996,real Answers
San Jose,Santa Clara County,2007,1466,1754,0.8790,0.2933,real Answers
Campbell,Santa Clara County,1999,1255,1881,0.6705,0.4401,real Answers
Antioch,Contra Costa County,2009,981,1131,0.6561,0.0975,real Answers
Sausalito,Marin County,2012,2127,2295,1.1869,0.3569,real Answers
Daly City,San Mateo County,1999,1175,1761,0.6096,0.3875,real Answers
San Mateo,San Mateo County,1999,1361,2040,0.5062,0.2984,real Answers
Milpitas,Santa Clara County,2012,1728,1864,1.0474,0.2704,real Answers
Daly City,San Mateo County,1996,831,1386,0.1387,0.0917,real Answers
Los Gatos,Santa Clara County,2007,1689,2021,0.9028,0.3097,real Answers
Sunnyvale,Santa Clara County,2008,1611,1869,0.8604,0.2418,real Answers
Larkspur,Marin County,2010,1786,2030,0.1450,-0.2515,real Answers
Palo Alto,Santa Clara County,2007,2163,2588,1.5000,0.7207,real Answers
Sonoma,Sonoma County,2000,1391,1995,0.6360,0.3500,real Answers
Fremont,Alameda County,2010,1347,1531,0.8565,0.2136,real Answers
Suisun City,Solano County,2005,1028,1312,0.5231,0.1174,real Answers
Redwood City,San Mateo County,2009,1771,2040,0.8638,0.2351,real Answers
South San Francisco,San Mateo County,2000,1150,1650,0.6727,0.3803,real Answers
Pleasant Hill,Contra Costa County,2013,1522,1606,0.9697,0.1954,real Answers
East Palo Alto,San Mateo County,1996,689,1149,0.1016,0.0562,real Answers
Morgan Hill,Santa Clara County,1998,1200,1875,0.4815,0.3311,real Answers
San Rafael,Marin County,2008,1551,1800,0.7612,0.1757,real Answers
Santa Clara,Santa Clara County,2003,1251,1647,0.4344,0.0860,real Answers
Suisun City,Solano County,1994,675,1174,0.0000,0.0000,real Answers
Sausalito,Marin County,1994,973,1691,0.0000,0.0000,real Answers
Burlingame,San Mateo County,2015,2466,2466,1.0768,0.1944,real Answers
Sausalito,Marin County,2011,1796,1990,0.8470,0.1768,real Answers
Livermore,Alameda County,1995,770,1313,0.0033,-0.0159,real Answers
Walnut Creek,Contra Costa County,2004,1159,1508,0.4948,0.1181,real Answers
Palo Alto,Santa Clara County,2012,2667,2877,2.0831,0.9130,real Answers
Rohnert Park,Sonoma County,2010,1068,1214,0.5039,-0.0169,real Answers
Antioch,Contra Costa County,2000,856,1229,0.4451,0.1925,real Answers
Santa Rosa,Sonoma County,1998,873,1363,0.2118,0.0888,real Answers
Hercules,Contra Costa County,2013,1100,1161,0.4915,-0.0948,real Answers
Milpitas,Santa Clara County,2004,1203,1565,0.4256,0.0664,real Answers
Pittsburg,Contra Costa County,2006,1079,1334,0.6540,0.1757,real Answers
Walnut Creek,Contra Costa County,2013,1631,1722,1.1033,0.2765,real Answers
Mill Valley,Marin County,1996,875,1459,0.0145,-0.0274,real Answers
San Bruno,San Mateo County,2004,1204,1566,0.4249,0.0658,real Answers
San Bruno,San Mateo County,2001,1843,2509,1.1805,0.7074,real Answers
Newark,Alameda County,1999,1113,1668,0.4495,0.2495,real Answers
Oakland,Alameda County,2012,1895,2045,2.0690,0.9043,real Answers
Los Gatos,Santa Clara County,1996,963,1605,0.0845,0.0398,real Answers
Napa,Napa County,2008,1262,1465,,,real Answers
San Francisco,San Francisco County,2001,2184,2973,1.3720,0.8574,real Answers
Hercules,Contra Costa County,2007,1047,1253,0.4195,-0.0230,real Answers
Hercules,Contra Costa County,2005,1053,1343,0.4271,0.0469,real Answers
Oakland,Alameda County,1999,751,1125,0.2156,0.0479,real Answers
San Francisco,San Francisco County,2007,2071,2478,1.2493,0.5481,real Answers
Sausalito,Marin County,1998,1324,2068,0.3613,0.2231,real Answers
Alameda,Alameda County,1995,793,1353,-0.0216,-0.0403,real Answers
Pleasanton,Alameda County,2007,1482,1774,0.7989,0.2382,real Answers
Walnut Creek,Contra Costa County,2011,1401,1553,0.8068,0.1511,real Answers
Rohnert Park,Sonoma County,2014,1487,1526,1.0947,0.2361,real Answers
Novato,Marin County,1995,816,1391,0.0323,0.0125,real Answers
Benicia,Solano County,1995,693,1181,0.0000,-0.0191,real Answers
Los Altos,Santa Clara County,2014,2287,2346,1.0235,0.1941,real Answers
Lafayette,Contra Costa County,2012,2287,2467,1.2002,0.3652,real Answers
Concord,Contra Costa County,2013,1242,1311,0.9087,0.1584,real Answers
San Jose,Santa Clara County,2009,1457,1679,0.8678,0.2377,real Answers
Alameda,Alameda County,2012,1525,1646,0.8817,0.1676,real Answers
Los Altos,Santa Clara County,2008,1599,1856,0.4148,-0.0556,real Answers
Pinole,Contra Costa County,2000,981,1408,0.4756,0.2176,real Answers
Emeryville,Alameda County,2012,2127,2295,,,real Answers
Martinez,Contra Costa County,2007,1204,1441,0.6910,0.1638,real Answers
San Jose,Santa Clara County,1999,1222,1832,0.5665,0.3504,real Answers
Santa Clara,Santa Clara County,2004,1225,1593,0.4050,0.0509,real Answers
Campbell,Santa Clara County,2007,1381,1653,0.8386,0.2655,real Answers
Sunnyvale,Santa Clara County,2015,2556,2556,1.9519,0.6976,real Answers
Cupertino,Santa Clara County,2008,2028,2353,1.2158,0.4791,real Answers
Albany,Alameda County,2014,1796,1843,1.2108,0.3046,real Answers
Novato,Marin County,2000,1318,1891,0.6685,0.3768,real Answers
Gilroy,Santa Clara County,2001,1388,1889,0.9821,0.5521,real Answers
Napa,Napa County,2005,1145,1461,,,real Answers
Albany,Alameda County,2012,1423,1535,0.7515,0.0868,real Answers
Morgan Hill,Santa Clara County,2011,1594,1766,0.9677,0.2537,real Answers
Fremont,Alameda County,2007,1401,1677,0.9311,0.3291,real Answers
Cupertino,Santa Clara County,2014,2759,2831,2.0154,0.7795,real Answers
San Francisco,San Francisco County,1995,926,1580,0.0061,-0.0131,real Answers
Daly City,San Mateo County,2010,1580,1796,1.1644,0.4149,real Answers
Livermore,Alameda County,1994,768,1335,0.0000,0.0000,real Answers
Fremont,Alameda County,1998,1049,1639,0.4453,0.2986,real Answers
Pinole,Contra Costa County,2012,1269,1369,0.9079,0.1838,real Answers
Danville,Contra Costa County,1997,943,1519,0.2083,0.1202,real Answers
Lafayette,Contra Costa County,2000,1486,2132,0.4293,0.1795,real Answers
San Mateo,San Mateo County,2010,1621,1843,0.7935,0.1724,real Answers
Walnut Creek,Contra Costa County,2002,1209,1619,0.5584,0.2007,real Answers
Palo Alto,Santa Clara County,2001,1656,2255,0.9147,0.4993,real Answers
Concord,Contra Costa County,1994,651,1131,0.0000,0.0000,real Answers
Gilroy,Santa Clara County,2005,1116,1424,0.5946,0.1698,real Answers
Sonoma,Sonoma County,2003,1443,1899,0.6971,0.2849,real Answers
Hercules,Contra Costa County,1997,738,1189,0.0000,-0.0729,real Answers
Sunnyvale,Santa Clara County,1995,906,1546,0.0468,0.0268,real Answers
Milpitas,Santa Clara County,2000,1610,2310,0.9081,0.5746,real Answers
Brentwood,Contra Costa County,2010,1445,1643,,,real Answers
Pittsburg,Contra Costa County,2002,1041,1394,0.5946,0.2286,real Answers
Mill Valley,Marin County,2003,1199,1578,0.3899,0.0523,real Answers
San Rafael,Marin County,2015,2320,2320,1.6342,0.5149,real Answers
Concord,Contra Costa County,2001,1140,1552,0.7522,0.3720,real Answers
Oakland,Alameda County,2008,1509,1752,1.4443,0.6316,real Answers
Sonoma,Sonoma County,2013,1550,1636,0.8235,0.1067,real Answers
Fairfield,Solano County,1995,666,1136,0.0066,-0.0126,real Answers
Foster City,San Mateo County,2005,1431,1825,0.4360,0.0535,real Answers
Millbrae,San Mateo County,2007,2073,2481,1.0835,0.4340,real Answers
Vacaville,Solano County,1999,743,1113,0.1636,0.0030,real Answers
Alameda,Alameda County,1996,891,1485,0.0987,0.0534,real Answers
San Rafael,Marin County,2000,1338,1920,0.5198,0.2541,real Answers
Tiburon,Marin County,1994,1379,2397,0.0000,0.0000,real Answers
Corte Madera,Marin County,2012,2113,2280,0.6176,0.0037,real Answers
Corte Madera,Marin County,1994,1306,2271,0.0000,0.0000,real Answers
Millbrae,San Mateo County,2009,2141,2467,1.1515,0.4257,real Answers
Santa Rosa,Sonoma County,2014,1489,1527,1.0674,0.2200,real Answers
Livermore,Alameda County,2014,1733,1779,1.2585,0.3328,real Answers
Millbrae,San Mateo County,2013,2594,2737,1.6068,0.5820,real Answers
Pinole,Contra Costa County,2009,1221,1407,0.8365,0.2170,real Answers
Pittsburg,Contra Costa County,2014,1374,1410,1.1059,0.2427,real Answers
San Rafael,Marin County,2012,1776,1917,1.0172,0.2516,real Answers
San Leandro,Alameda County,2000,1073,1540,0.5330,0.2651,real Answers
Belmont,San Mateo County,2010,1360,1546,0.9850,0.2976,real Answers
Rohnert Park,Sonoma County,2013,1301,1373,0.8319,0.1117,real Answers
Corte Madera,Marin County,1998,1756,2744,0.3445,0.2080,real Answers
Gilroy,Santa Clara County,2012,1570,1694,1.2432,0.3919,real Answers
Pleasant Hill,Contra Costa County,1995,793,1352,0.0259,0.0063,real Answers
Vacaville,Solano County,2008,1144,1328,0.7924,0.1964,real Answers
Danville,Contra Costa County,1998,995,1555,0.2756,0.1461,real Answers
Los Gatos,Santa Clara County,2002,1544,2068,0.7394,0.3402,real Answers
Palo Alto,Santa Clara County,2011,2439,2703,1.8201,0.7968,real Answers
Foster City,San Mateo County,2002,1554,2082,0.5596,0.2016,real Answers
Menlo Park,San Mateo County,2008,2476,2874,,,real Answers
Gilroy,Santa Clara County,2004,1238,1610,0.7679,0.3223,real Answers
Los Altos,Santa Clara County,2000,1735,2490,0.5354,0.2670,real Answers
Mountain View,Santa Clara County,2009,1508,1738,0.9215,0.2733,real Answers
Tiburon,Marin County,2004,1859,2418,0.3481,0.0084,real Answers
Burlingame,San Mateo County,1999,1613,2417,0.3579,0.1705,real Answers
Larkspur,Marin County,2004,1965,2555,0.2593,-0.0581,real Answers
Hercules,Contra Costa County,2012,1025,1106,0.3898,-0.1376,real Answers
San Rafael,Marin County,2003,1438,1893,0.6331,0.2364,real Answers
Santa Clara,Santa Clara County,2005,1273,1623,0.4596,0.0708,real Answers
Hercules,Contra Costa County,2015,1225,1225,0.6610,-0.0448,real Answers
Antioch,Contra Costa County,1998,690,1078,0.1646,0.0463,real Answers
Vacaville,Solano County,2003,1036,1364,0.6239,0.2295,real Answers
San Bruno,San Mateo County,2000,1741,2499,1.0607,0.7004,real Answers
Martinez,Contra Costa County,1998,853,1332,0.1975,0.0760,real Answers
Alameda,Alameda County,2015,2087,2087,1.5750,0.4808,real Answers
Los Altos,Santa Clara County,2013,2021,2133,0.7887,0.0855,real Answers
Antioch,Contra Costa County,2002,943,1263,0.5907,0.2256,real Answers
Walnut Creek,Contra Costa County,2007,1353,1619,0.7446,0.2007,real Answers
San Ramon,Contra Costa County,2011,1564,1732,0.5934,0.0152,real Answers
San Mateo,San Mateo County,2015,2844,2844,2.1466,0.8096,real Answers
Sausalito,Marin County,1995,984,1678,0.0116,-0.0078,real Answers
Union City,Alameda County,2004,1056,1373,0.3856,0.0364,real Answers
Fremont,Alameda County,2000,1496,2147,1.0620,0.7016,real Answers
Union City,Alameda County,2012,1466,1582,0.9245,0.1941,real Answers
Pittsburg,Contra Costa County,2009,1097,1264,0.6814,0.1142,real Answers
El Cerrito,Contra Costa County,1999,1073,1608,0.3282,0.1449,real Answers
Sonoma,Sonoma County,2009,1427,1644,0.6787,0.1124,real Answers
Santa Rosa,Sonoma County,1995,709,1209,-0.0156,-0.0345,real Answers
Antioch,Contra Costa County,2010,988,1123,0.6677,0.0902,real Answers
Hayward,Alameda County,1998,956,1494,0.2562,0.1286,real Answers
Foster City,San Mateo County,2013,2513,2652,1.5222,0.5307,real Answers
Santa Clara,Santa Clara County,2014,2313,2374,1.6533,0.5658,real Answers
Rohnert Park,Sonoma County,2015,1591,1591,1.2412,0.2889,real Answers
Concord,Contra Costa County,2003,997,1312,0.5316,0.1596,real Answers
Suisun City,Solano County,2001,995,1355,0.4741,0.1543,real Answers
Novato,Marin County,1997,914,1474,0.1574,0.0730,real Answers
East Palo Alto,San Mateo County,2000,1022,1466,0.6332,0.3477,real Answers
Pinole,Contra Costa County,2011,1198,1328,0.8019,0.1480,real Answers
San Jose,Santa Clara County,2010,1468,1668,0.8814,0.2299,real Answers
Daly City,San Mateo County,2012,1830,1974,1.5063,0.5552,real Answers
Napa,Napa County,2006,1140,1409,,,real Answers
San Pablo,Contra Costa County,2007,1011,1210,,,real Answers
Mountain View,Santa Clara County,2014,2444,2508,2.1139,0.8375,real Answers
Fairfield,Solano County,1997,681,1098,0.0293,-0.0458,real Answers
Albany,Alameda County,2006,1291,1595,0.5885,0.1291,real Answers
Concord,Contra Costa County,2008,1136,1319,0.7460,0.1655,real Answers
Redwood City,San Mateo County,2011,1936,2145,1.0378,0.2983,real Answers
Richmond,Contra Costa County,1999,961,1440,0.2938,0.1153,real Answers
Hercules,Contra Costa County,2000,816,1171,0.1068,-0.0867,real Answers
Oakland,Alameda County,2006,1217,1504,0.9706,0.4007,real Answers
Morgan Hill,Santa Clara County,2014,1900,1950,1.3458,0.3843,real Answers
Campbell,Santa Clara County,1994,751,1306,0.0000,0.0000,real Answers
Pacifica,San Mateo County,2007,1575,1885,0.8922,0.3023,real Answers
Novato,Marin County,2001,1434,1953,0.8157,0.4217,real Answers
Martinez,Contra Costa County,2012,1294,1396,0.8177,0.1279,real Answers
Palo Alto,Santa Clara County,2008,2214,2570,1.5600,0.7088,real Answers
Hayward,Alameda County,2009,1166,1343,0.5310,0.0146,real Answers
Alameda,Alameda County,2009,1418,1634,0.7492,0.1591,real Answers
Dublin,Alameda County,1994,1094,1902,0.0000,0.0000,real Answers
Danville,Contra Costa County,2008,1399,1624,0.7933,0.1970,real Answers
Tiburon,Marin County,2006,1953,2413,0.4161,0.0066,real Answers
Lafayette,Contra Costa County,2009,1817,2094,0.7480,0.1584,real Answers
Burlingame,San Mateo County,2012,2014,2173,0.6963,0.0525,real Answers
San Bruno,San Mateo County,2008,1739,2019,1.0584,0.3740,real Answers
Antioch,Contra Costa County,2007,1009,1208,0.7036,0.1725,real Answers
Santa Rosa,Sonoma County,2009,1144,1318,0.5884,0.0526,real Answers
San Bruno,San Mateo County,2011,1796,1989,1.1249,0.3538,real Answers
San Pablo,Contra Costa County,2015,1386,1386,,,real Answers
Union City,Alameda County,2008,1354,1572,0.7772,0.1863,real Answers
Benicia,Solano County,2014,1519,1559,1.1933,0.2943,real Answers
Livermore,Alameda County,2006,1155,1428,0.5049,0.0697,real Answers
Walnut Creek,Contra Costa County,1994,776,1349,0.0000,0.0000,real Answers
Morgan Hill,Santa Clara County,2007,1534,1836,0.8943,0.3038,real Answers
San Bruno,San Mateo County,2013,2248,2372,1.6605,0.6146,real Answers
Mill Valley,Marin County,2006,1479,1828,0.7145,0.2187,real Answers
Milpitas,Santa Clara County,2009,1498,1726,0.7757,0.1767,real Answers
Santa Clara,Santa Clara County,1997,1216,1960,0.3947,0.2930,real Answers
Mill Valley,Marin County,2001,1464,1993,0.6971,0.3289,real Answers
San Francisco,San Francisco County,2015,3418,3418,2.7130,1.1353,real Answers
San Francisco,San Francisco County,2014,3143,3226,2.4144,1.0149,real Answers
South San Francisco,San Mateo County,1994,688,1195,0.0000,0.0000,real Answers
Novato,Marin County,2006,1216,1503,0.5388,0.0938,real Answers
Sonoma,Sonoma County,2014,1799,1846,1.1162,0.2488,real Answers
Pacifica,San Mateo County,2014,2237,2295,1.6879,0.5862,real Answers
Emeryville,Alameda County,2008,1894,2198,,,real Answers
Belmont,San Mateo County,2007,1355,1621,0.9776,0.3612,real Answers
Sonoma,Sonoma County,2015,2050,2050,1.4118,0.3870,real Answers
Mountain View,Santa Clara County,2001,1654,2253,1.1075,0.6503,real Answers
Lafayette,Contra Costa County,1998,1252,1956,0.2044,0.0822,real Answers
San Jose,Santa Clara County,2006,1279,1581,0.6401,0.1658,real Answers
Milpitas,Santa Clara County,2001,1690,2301,1.0030,0.5684,real Answers
Richmond,Contra Costa County,2013,1285,1356,0.7301,0.0500,real Answers
Union City,Alameda County,2010,1229,1397,0.6135,0.0547,real Answers
Dublin,Alameda County,2002,1568,2101,0.4337,0.1046,real Answers
Rohnert Park,Sonoma County,1994,710,1235,0.0000,0.0000,real Answers
Vallejo,Solano County,2006,1023,1264,0.5551,0.1054,real Answers
Colma,San Mateo County,2014,2906,2982,,,real Answers
Martinez,Contra Costa County,1994,712,1238,0.0000,0.0000,real Answers
Rohnert Park,Sonoma County,2012,1197,1291,0.6857,0.0460,real Answers
Sausalito,Marin County,2013,2348,2478,1.4147,0.4654,real Answers
San Francisco,San Francisco County,1997,1294,2087,0.4060,0.3034,real Answers
Santa Rosa,Sonoma County,2001,1148,1562,0.5938,0.2480,real Answers
Vallejo,Solano County,2004,1038,1349,0.5779,0.1803,real Answers
San Leandro,Alameda County,1996,730,1217,0.0429,-0.0002,real Answers
Livermore,Alameda County,1996,819,1365,0.0668,0.0228,real Answers
San Jose,Santa Clara County,2001,1576,2146,1.0208,0.5824,real Answers
Fremont,Alameda County,2004,1171,1523,0.6133,0.2067,real Answers
Tiburon,Marin County,2000,2274,3263,0.6491,0.3609,real Answers
Walnut Creek,Contra Costa County,1996,831,1385,0.0709,0.0267,real Answers
Daly City,San Mateo County,2004,1229,1599,0.6841,0.2597,real Answers
Danville,Contra Costa County,2010,1250,1421,0.6026,0.0476,real Answers
San Francisco,San Francisco County,2004,1825,2374,0.9823,0.4828,real Answers
Union City,Alameda County,2001,1438,1958,0.8876,0.4781,real Answers
Fremont,Alameda County,2008,1469,1705,1.0239,0.3510,real Answers
Burlingame,San Mateo County,2004,1631,2122,0.3737,0.0275,real Answers
Vallejo,Solano County,2009,1077,1241,0.6386,0.0858,real Answers
Hercules,Contra Costa County,2011,950,1053,0.2881,-0.1793,real Answers
East Palo Alto,San Mateo County,2008,906,1052,0.4488,-0.0329,real Answers
San Francisco,San Francisco County,2006,1908,2358,1.0725,0.4731,real Answers
Rohnert Park,Sonoma County,2007,1105,1322,0.5563,0.0712,real Answers
Santa Rosa,Sonoma County,2015,1678,1678,1.3302,0.3401,real Answers
Hayward,Alameda County,2002,1229,1646,0.6141,0.2436,real Answers
Newark,Alameda County,2001,1447,1970,0.8852,0.4762,real Answers
Hercules,Contra Costa County,2014,1150,1180,0.5593,-0.0798,real Answers
Walnut Creek,Contra Costa County,2010,1317,1498,0.6985,0.1103,real Answers
Antioch,Contra Costa County,2003,940,1238,0.5865,0.2012,real Answers
Cupertino,Santa Clara County,2012,2359,2545,1.5777,0.5995,real Answers
Livermore,Alameda County,2011,1385,1535,0.8050,0.1501,real Answers
Redwood City,San Mateo County,2013,2369,2500,1.4937,0.5134,real Answers
Albany,Alameda County,1997,854,1377,0.0515,-0.0252,real Answers
Richmond,Contra Costa County,2008,1178,1367,0.5859,0.0586,real Answers
San Francisco,San Francisco County,2003,1741,2292,0.8907,0.4315,real Answers
Millbrae,San Mateo County,1999,1414,2119,0.4209,0.2248,real Answers
Pittsburg,Contra Costa County,2012,1104,1191,0.6916,0.0496,real Answers
Los Gatos,Santa Clara County,1997,1200,1934,0.3521,0.2535,real Answers
Fairfield,Solano County,2003,1121,1475,0.6931,0.2819,real Answers
Santa Rosa,Sonoma County,2000,1104,1585,0.5339,0.2657,real Answers
San Mateo,San Mateo County,2005,1300,1658,0.4385,0.0552,real Answers
Belmont,San Mateo County,2012,1693,1826,1.4712,0.5333,real Answers
Vacaville,Solano County,2006,1079,1333,0.6905,0.2016,real Answers
Pleasant Hill,Contra Costa County,1999,1157,1734,0.4976,0.2910,real Answers
Sausalito,Marin County,2015,2901,2901,1.9830,0.7155,real Answers
Campbell,Santa Clara County,2003,1106,1456,0.4725,0.1149,real Answers
Hayward,Alameda County,2011,1206,1336,0.5836,0.0089,real Answers
Fremont,Alameda County,2015,2239,2239,2.0849,0.7741,real Answers
Rohnert Park,Sonoma County,1998,886,1384,0.2474,0.1207,real Answers
Morgan Hill,Santa Clara County,1996,999,1665,0.2330,0.1821,real Answers
Mill Valley,Marin County,2009,1658,1910,0.9217,0.2735,real Answers
Oakland,Alameda County,2013,2068,2182,2.3484,1.0321,real Answers
Petaluma,Sonoma County,1995,738,1258,0.0172,-0.0022,real Answers
Morgan Hill,Santa Clara County,2012,1749,1888,1.1597,0.3401,real Answers
Albany,Alameda County,2013,1580,1667,0.9446,0.1802,real Answers
Novato,Marin County,2013,1590,1678,1.0127,0.2214,real Answers
Pinole,Contra Costa County,2004,1181,1536,0.7763,0.3287,real Answers
Mountain View,Santa Clara County,2003,1221,1607,0.5549,0.1773,real Answers
Union City,Alameda County,2009,1251,1442,0.6422,0.0882,real Answers
East Palo Alto,San Mateo County,2001,1100,1498,0.7586,0.3771,real Answers
Redwood City,San Mateo County,2008,1849,2146,0.9461,0.2990,real Answers
San Mateo,San Mateo County,1995,931,1587,0.0297,0.0100,real Answers
Novato,Marin County,2014,1703,1748,1.1559,0.2722,real Answers
San Francisco,San Francisco County,2002,1794,2403,0.9484,0.5012,real Answers
Mountain View,Santa Clara County,1999,1294,1939,0.6481,0.4207,real Answers
Pinole,Contra Costa County,2003,1263,1662,0.8985,0.4374,real Answers
Benicia,Solano County,2011,1228,1361,0.7735,0.1299,real Answers
San Bruno,San Mateo County,1995,900,1535,0.0651,0.0447,real Answers
Los Gatos,Santa Clara County,2010,1937,2202,1.1830,0.4270,real Answers
Cupertino,Santa Clara County,2011,2135,2366,1.3336,0.4868,real Answers
Los Gatos,Santa Clara County,2012,2254,2432,1.5397,0.5759,real Answers
Redwood City,San Mateo County,2006,1588,1963,0.6716,0.1882,real Answers
Rohnert Park,Sonoma County,1997,791,1276,0.1144,0.0331,real Answers
San Rafael,Marin County,2002,1435,1923,0.6298,0.2557,real Answers
Concord,Contra Costa County,2002,1060,1420,0.6292,0.2552,real Answers
Pleasanton,Alameda County,1997,1038,1672,0.2595,0.1676,real Answers
Novato,Marin County,2008,1416,1643,0.7919,0.1961,real Answers
Napa,Napa County,2014,1580,1621,,,real Answers
Mountain View,Santa Clara County,2000,1683,2414,1.1433,0.7686,real Answers
Suisun City,Solano County,1999,835,1252,0.2370,0.0664,real Answers
San Leandro,Alameda County,2004,1124,1462,0.6054,0.2008,real Answers
El Cerrito,Contra Costa County,2005,1279,1631,0.5836,0.1617,real Answers
Newark,Alameda County,2009,1334,1537,0.7375,0.1514,real Answers
San Jose,Santa Clara County,2005,1159,1479,0.4864,0.0904,real Answers
Belmont,San Mateo County,2006,1208,1493,0.7637,0.2536,real Answers
San Bruno,San Mateo County,1994,845,1469,0.0000,0.0000,real Answers
Burlingame,San Mateo County,1997,1350,2176,0.1368,0.0539,real Answers
Redwood City,San Mateo County,1994,950,1652,0.0000,0.0000,real Answers
Novato,Marin County,2003,1306,1720,0.6535,0.2519,real Answers
Suisun City,Solano County,2014,1144,1174,0.6948,0.0001,real Answers
Tiburon,Marin County,2014,3367,3455,1.4419,0.4410,real Answers
Dublin,Alameda County,1996,1231,2053,0.1257,0.0793,real Answers
Corte Madera,Marin County,2008,2188,2540,0.6751,0.1182,real Answers
Hayward,Alameda County,1999,1012,1517,0.3292,0.1458,real Answers
Benicia,Solano County,2012,1319,1423,0.9045,0.1817,real Answers
Santa Rosa,Sonoma County,2010,1129,1283,0.5681,0.0251,real Answers
El Cerrito,Contra Costa County,1997,876,1413,0.0851,0.0060,real Answers
San Rafael,Marin County,1998,1098,1716,0.2470,0.1204,real Answers
Cupertino,Santa Clara County,1998,1509,2357,0.6489,0.4815,real Answers
Daly City,San Mateo County,1997,923,1488,0.2646,0.1723,real Answers
Vallejo,Solano County,1999,828,1241,0.2589,0.0852,real Answers
Sonoma,Sonoma County,1999,1275,1911,0.5000,0.2930,real Answers
American Canyon,Napa County,2009,1633,1881,,,real Answers
Morgan Hill,Santa Clara County,2010,1590,1807,0.9630,0.2832,real Answers
San Bruno,San Mateo County,2012,2052,2214,1.4284,0.5068,real Answers
Sausalito,Marin County,1996,1031,1719,0.0604,0.0167,real Answers
Morgan Hill,Santa Clara County,1999,1238,1855,0.5278,0.3170,real Answers
Sausalito,Marin County,2014,2561,2628,1.6330,0.5538,real Answers
Vacaville,Solano County,2007,1107,1325,0.7346,0.1939,real Answers
Walnut Creek,Contra Costa County,1997,916,1477,0.1813,0.0951,real Answers
Campbell,Santa Clara County,2005,1129,1441,0.5032,0.1027,real Answers
Fremont,Alameda County,2006,1270,1570,0.7502,0.2441,real Answers
Rohnert Park,Sonoma County,2000,1033,1482,0.4542,0.2000,real Answers
Napa,Napa County,2011,1277,1415,,,real Answers
Morgan Hill,Santa Clara County,2009,1561,1798,0.9267,0.2768,real Answers
Albany,Alameda County,1996,813,1355,0.0000,-0.0413,real Answers
Santa Clara,Santa Clara County,2006,1452,1795,0.6654,0.1838,real Answers
Pleasanton,Alameda County,2003,1280,1685,0.5539,0.1765,real Answers
American Canyon,Napa County,2012,1542,1664,,,real Answers
Newark,Alameda County,2014,2013,2065,1.6223,0.5475,real Answers
Menlo Park,San Mateo County,2010,2415,2745,,,real Answers
Albany,Alameda County,2010,1325,1506,0.6308,0.0661,real Answers
Redwood City,San Mateo County,1998,1499,2342,0.5776,0.4175,real Answers
Lafayette,Contra Costa County,1994,1039,1807,0.0000,0.0000,real Answers
East Palo Alto,San Mateo County,2015,1608,1608,1.5701,0.4780,real Answers
Berkeley,Alameda County,2004,1675,2179,,,real Answers
Pittsburg,Contra Costa County,2001,1042,1419,0.5969,0.2505,real Answers
Brentwood,Contra Costa County,2008,1519,1764,,,real Answers
San Ramon,Contra Costa County,1996,1155,1926,0.1773,0.1287,real Answers
Dublin,Alameda County,2007,1531,1833,0.4000,-0.0364,real Answers
Rohnert Park,Sonoma County,2011,1107,1226,0.5590,-0.0067,real Answers
Larkspur,Marin County,2012,2107,2273,0.3505,-0.1620,real Answers
Vallejo,Solano County,2005,1014,1294,0.5428,0.1318,real Answers
Vallejo,Solano County,1998,749,1170,0.1388,0.0232,real Answers
Santa Clara,Santa Clara County,2008,1726,2004,0.9801,0.3217,real Answers
Oakland,Alameda County,2011,1631,1807,1.6417,0.6831,real Answers
Sunnyvale,Santa Clara County,2002,1357,1818,0.5673,0.2075,real Answers
Novato,Marin County,2004,1196,1556,0.5142,0.1326,real Answers
Union City,Alameda County,1994,762,1325,0.0000,0.0000,real Answers
Corte Madera,Marin County,2013,2246,2370,0.7196,0.0436,real Answers
Livermore,Alameda County,2015,1941,1941,1.5292,0.4545,real Answers
Gilroy,Santa Clara County,2008,1364,1583,0.9482,0.3005,real Answers
Palo Alto,Santa Clara County,2000,1559,2237,0.8020,0.4870,real Answers
Danville,Contra Costa County,2002,1156,1549,0.4824,0.1421,real Answers
Millbrae,San Mateo County,2005,1663,2121,0.6709,0.2257,real Answers
San Leandro,Alameda County,2008,1106,1283,0.5795,0.0543,real Answers
Benicia,Solano County,1994,693,1204,0.0000,0.0000,real Answers
Santa Rosa,Sonoma County,2005,1062,1355,0.4755,0.0824,real Answers
Santa Clara,Santa Clara County,2013,2101,2217,1.4092,0.4621,real Answers
Novato,Marin County,2007,1339,1603,0.6954,0.1669,real Answers
Vallejo,Solano County,2014,1234,1266,0.8766,0.1074,real Answers
Santa Rosa,Sonoma County,2007,1104,1322,0.5337,0.0556,real Answers
Gilroy,Santa Clara County,1994,700,1217,0.0000,0.0000,real Answers
Los Gatos,Santa Clara County,2013,2382,2514,1.6844,0.6291,real Answers
